team,name,SOG
BUF,Harrison Browne,15
BUF,Corinne Buie,31
BUF,Paige Harrington,3
BUF,Emily Janiga,20
BUF,Kourtney Kunichika,14
BUF,Emily Pfalzer,16
BUF,Devon Skeats,20
CTW,Jordan Brickner,13
CTW,Nicole Connery,25
CTW,Sam Faber,15
CTW,Nicole Kosta,18
CTW,Meagan Mangene,16
CTW,Cydney Roesler,15
NYR,Miye D'Oench,28
NYR,Kaleigh Fratkin,23
NYR,Alexa Gruschow,13
NYR,Ashley Johnston,9
NYR,Milica McMillen,10
NYR,Madison Packer,34
NYR,Michelle Picard,12
NYR,Tatiana Rafter,14
NYR,Rebecca Russo,22
BUF,Megan Bozek,38
BUF,Sarah Casorso,10
BUF,Shiann Darkangelo,51
CTW,Kelly Babstock,39
CTW,Molly Engstrom,7
CTW,Micaela Long,22
CTW,Haley Skarupa,47
NYR,Kiira Dosdall,10
NYR,Bray Ketchum,19
NYR,Janine Weber,20
BOS,Kacey Bellamy,15
BOS,Alexandra Bender,11
BOS,Blake Bolden,19
BOS,Alex Carpenter,31
BOS,Brianna Decker,57
BOS,Jillian Dempsey,28
BOS,Meghan Duggan,26
BOS,Emily Field,14
BOS,Alyssa Gagliardi,9
BOS,Zoe Hickel,17
BOS,Gigi Marvin,20
BOS,Amanda Pelkey,19
BOS,Jordan Smelker,13
BUF,Jordyn Burns,3
BUF,Jacquie Greco,4
CTW,Kelli Stack,36
CTW,Dana Trivigno,28
CTW,Shannon Doyle,8
NYR,Taylor Holze,7
BOS,Rachel Llanes,17
BUF,Kristina Lavoie,3
CTW,Ivana Bilic,9
NYR,Morgan Fritz-Ward,13
CTW,Kaliya Johnson,4
CTW,Elena Orlando,5
BUF,Anne Schleper,6
BUF,Kelley Steadman,28
BUF,Ashley Vesci,7
NYR,Courtney Burke,11
NYR,Rebecca Morse,5
BUF,Lisa Chesson,5
BUF,Kayla Parsons,1
BOS,Kathryn Tomaselli,5
BOS,Michaela Levine,0
CTW,Celeste Brown,3
CTW,Juana Baribeau,8
NYR,Gabie Figueroa,2
BOS,Hilary Knight,8
CTW,Anya Battaglino,2
CTW,Meghan Huertas,1
BOS,Lauren Slebodnick,0
BOS,Marissa Gedman,0
BUF,Morgan Beikirich,0
CTW,Nicole Stock,1
CTW,Lisa Giovanelli,0
CTW,Meghan Huertas,0
NYR,Amanda Kessel,2
NYR,Julia Herr,0
NYR,Lauren Wash,1
